2025-10-24 12:52:42, CPU: 5.1%, Memory: 36.2%, Disk: 47.4%
2025-10-24 12:52:48, CPU: 73.6%, Memory: 36.5%, Disk: 47.4%
2025-10-24 12:52:54, CPU: 7.6%, Memory: 36.0%, Disk: 47.4%
2025-10-24 12:53:00, CPU: 9.2%, Memory: 35.7%, Disk: 47.4%
2025-10-24 12:53:06, CPU: 43.8%, Memory: 36.5%, Disk: 47.4%
2025-10-24 12:53:12, CPU: 34.7%, Memory: 37.1%, Disk: 47.4%
2025-10-24 12:53:18, CPU: 13.0%, Memory: 35.5%, Disk: 47.4%
2025-10-24 12:53:24, CPU: 0.3%, Memory: 35.5%, Disk: 47.4%
2025-10-24 12:53:30, CPU: 0.7%, Memory: 35.5%, Disk: 47.4%
2025-10-24 12:53:36, CPU: 0.3%, Memory: 35.5%, Disk: 47.4%
2025-10-24 12:53:42, CPU: 0.3%, Memory: 35.5%, Disk: 47.4%
2025-10-24 12:53:48, CPU: 1.0%, Memory: 35.5%, Disk: 47.4%
2025-10-24 12:53:54, CPU: 0.3%, Memory: 35.5%, Disk: 47.4%
2025-10-24 12:54:00, CPU: 1.7%, Memory: 35.5%, Disk: 47.4%
2025-10-24 12:54:06, CPU: 0.0%, Memory: 35.5%, Disk: 47.4%
2025-10-24 12:54:12, CPU: 0.3%, Memory: 35.5%, Disk: 47.4%
2025-10-24 12:54:18, CPU: 1.7%, Memory: 35.5%, Disk: 47.4%
2025-10-24 12:54:24, CPU: 0.0%, Memory: 35.5%, Disk: 47.4%
2025-10-24 12:54:30, CPU: 18.6%, Memory: 35.5%, Disk: 47.4%
2025-10-24 12:55:21, CPU: 4.4%, Memory: 27.8%, Disk: 47.4%
2025-10-24 12:55:27, CPU: 57.3%, Memory: 29.4%, Disk: 47.3%
2025-10-24 12:55:33, CPU: 67.6%, Memory: 34.6%, Disk: 47.3%
2025-10-24 12:55:39, CPU: 24.1%, Memory: 36.1%, Disk: 47.3%
